Type,Title,Director,Casting,Country,Date Added,Rating,Duration,Genres,Description,Release Year,Imdb Score,Imdb Votes
Movie,Sam Kinison: Live in Vegas,Walter C. Miller,Sam Kinison,United States,"December 31, 2018",TV-MA,71 min,Stand-Up Comedy,"Comedy / Music/Musical - In the town that knows no limits, Kinison gives a completely raw and uncensored performance at the very height of his career. Filled with scorching comedy, hot women and sizzling rock 'n roll, this rarely seen live show encapsulates the energy, verve and relentless brand of comedy that was unique to Kinison.",1991,6.6,272.0
Movie,Sam Kinison: The Scream Continues,Unknown,Sam Kinison,United States,"December 31, 2018",TV-MA,29 min,Documentaries,"Comedy Dynamics sits down with Sam Kinison's brother, Bill, to set the record straight on the stories surrounding this legendary comedian. Including his classic performances, rare TV appearances and photos, this documentary is not to be missed by any true Sam Kinison fan! Plus, you might be surprised who else you see with Sam. He was one popular guy!",2016,6.1,39.0
Movie,Secrets in the Hot Spring,Unknown,"Chang Ting-hu, Hong Yan-xiang, Lin He Xuan, Kuo Shu-yao, Law Kar-Ying, Mimi Chu",Taiwan,"December 31, 2018",TV-14,108 min,"Comedies, Horror Movies, International Movies","Xiaogin transferred to the third school during his fifth year at high school. During the winter vacation, his grandparents tricked him into returning to the hotel which was founded by his parents. Xiaoginâ€™s classmates Little Princess and Lu Qun tagged along uninvited to escape being bullied at school.  While the three boys were temporarily staying at Xiaoginâ€™s family hotel, they quickly found out that the hotel was in terrible shape and was also haunted. Xiaogin and his friends have developed an extremely close friendship while they are trying to step closer to the truth. Will they find out the secret that hides underneath the steaming hot springs?",2018,6.0,749.0
Movie,Tim Allen: Men Are Pigs,Ellen Brown,Tim Allen,United States,"December 31, 2018",TV-MA,30 min,Stand-Up Comedy,"Comedian Tim Allen shares his enthusiasm for power tools, automobiles, grunting, and the myriad obsessions of the American male in this special for the Showtime premium cable network, which was aired a few years before he rose to stardom with the television sitcom Home Improvement.",1990,6.0,353.0
Movie,Black Mirror: Bandersnatch,Unknown,"Fionn Whitehead, Will Poulter, Craig Parkinson, Alice Lowe, Asim Chaudhry",United States,"December 28, 2018",TV-MA,312 min,"Dramas, International Movies, Sci-Fi & Fantasy","In 1984, a young programmer begins to question reality as he adapts a dark fantasy novel into a video game. A mind-bending tale with multiple endings.",2018,7.1,123377.0
TV Show,Murder Mountain,Unknown,Unknown,United States,"December 28, 2018",TV-MA,1 Season,"Crime TV Shows, Docuseries","In Humboldt County, California, the big business of legal marijuana brings in visitors from around the world. Some are never seen again.",2018,6.8,3045.0
TV Show,Selection Day,Unknown,"Mohammad Samad, Yash Shashank Dholye, Rajesh Tailang, Mahesh Manjrekar, Karanvir Malhotra, Ratna Pathak Shah, Akshay Oberoi",India,"December 28, 2018",TV-14,1 Season,"International TV Shows, TV Dramas, Teen TV Shows",Two teen cricket prodigies struggle against their overbearing father and a system stacked against them to realize their own ambitions and identities.,2018,7.4,2176.0
Movie,When Angels Sleep,Gonzalo Bendala,"Julián Villagrán, Marian Álvarez, Ester Expósito, Sira Alonso de Alarcón, Asia Ortega, Daniel Jumillas, Christian Mulas",Spain,"December 28, 2018",TV-MA,96 min,"Dramas, International Movies, Thrillers","GermÃ¡n, an honest family man, sees how his whole world wobbles the night when, driving home, accidentally runs over two teenage girls. From that moment, GermÃ¡n will have to do everything in his power to prevent his life from being destroyed forever.",2018,5.5,3619.0
TV Show,Watership Down,Noam Murro,"James McAvoy, Nicholas Hoult, John Boyega, Ben Kingsley, Tom Wilkinson, Gemma Arterton, Peter Capaldi, Olivia Colman, Mackenzie Crook, Anne-Marie Duff, Taron Egerton, James Faulkner, Freddie Fox, Lee Ingleby, Miles Jupp, Daniel Kaluuya, Rory Kinnear, Craig Parkinson, Rosamund Pike, Daniel Rigby, Jason Watkins","United Kingdom, Ireland, United States","December 23, 2018",TV-PG,1 Season,"British TV Shows, International TV Shows, TV Action & Adventure","Fleeing their doomed warren, a group of rabbits struggle to find and defend a new home.",2018,7.2,6043.0
TV Show,7 Days Out,Unknown,Unknown,United States,"December 21, 2018",TV-PG,1 Season,Docuseries,"Witness the excitement and drama behind the scenes in the seven days leading up to major live events in the worlds of sports, fashion, space and food.",2018,6.8,531.0
